FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
9.574676,2.284463,0.197600,0.472340,13.666570,29.658087,0.606377,1.233016,0.859715,2.423669,0.127668,0.211435,0.992933,0.184824,0.076470,0.000000,0.981124,0.358784,0.000000,0.000000,1.135660,1.472143,0.000000,0.090969,0.000000,0.384473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.000000,,1
12.249548,1.424727,0.178475,0.450420,7.720510,10.404984,0.400571,0.715538,0.947815,1.671259,0.338264,0.481843,0.791260,0.192051,0.013072,0.000000,1.088120,0.153732,0.000000,0.000000,0.887646,1.017241,0.000000,0.000000,0.000000,0.223044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,213.000000,,0
11.307941,3.542114,0.162345,0.566888,10.696015,28.584362,0.332754,0.732387,0.998164,1.739175,0.931245,0.515622,0.787487,4.541116,0.122295,0.000000,1.053384,0.549263,0.000000,0.000000,1.029222,1.456128,0.000000,0.000000,0.000000,0.240343,0.000000,0.000000,0.000000,0.657163,0.000000,0.000000,411.000000,,1
2.080833,4.568646,0.216027,0.911222,7.462939,17.610991,0.163942,0.738077,1.243158,2.151485,0.594837,1.233635,0.393484,1.634086,0.001249,0.000000,0.318237,0.659787,0.000000,0.000000,0.872910,1.245784,0.000000,0.000000,0.094526,0.332738,0.000000,0.091187,0.000000,0.213275,0.000000,0.000000,615.000000,,1
12.671201,8.025195,0.171448,0.457308,7.423770,12.995351,0.477631,0.735781,1.645565,2.185084,0.541435,0.417201,0.406380,2.101835,0.022158,0.000000,1.102818,0.904456,0.000000,0.000000,0.870624,1.113788,0.000000,0.000000,0.216315,0.339468,0.000000,0.000000,0.000000,0.322599,0.000000,0.000000,713.000000,,1
1.524965,1.366633,0.285480,0.622767,1.489170,5.868121,0.575912,0.214110,0.756943,1.438842,0.420495,0.926035,0.913777,3.268432,0.092426,0.000000,0.183260,0.135652,0.000000,0.000000,0.172944,0.768499,0.000000,0.000000,0.000000,0.158013,0.000000,0.000000,0.000000,0.514339,0.000000,0.000000,741.000000,,0
11.939892,16.375700,0.320936,0.596395,6.443594,5.513946,0.576651,0.513845,1.932224,1.668983,0.608453,0.534048,0.696373,1.535725,0.101473,0.000000,1.077000,1.214200,0.000000,0.000000,0.809128,0.741462,0.000000,0.000000,0.286057,0.222452,0.000000,0.000000,0.000000,0.186314,0.000000,0.000000,840.000000,,1
10.487414,101.995430,0.310016,0.452676,14.252783,18.642235,0.663652,1.354196,0.876325,2.255855,0.480366,1.604780,0.649258,2.154879,0.009407,0.000000,1.020668,2.008581,0.000000,0.000000,1.153900,1.270498,0.000000,0.131681,0.000000,0.353311,0.000000,0.205415,0.000000,0.333423,0.000000,0.000000,900.000000,,1
13.562578,3.246552,0.292128,0.421792,8.009963,18.504187,0.482602,0.723503,0.311094,4.887326,0.814777,0.401709,0.551636,1.833404,0.004108,0.000000,1.132342,0.511422,0.000000,0.000000,0.903630,1.267270,0.000000,0.000000,0.000000,0.689071,0.000000,0.000000,0.000000,0.263258,0.000000,0.000000,1013.000000,,1
22.031008,4.851790,0.259727,0.197560,8.379111,11.217386,0.232317,0.715578,1.209000,1.262602,0.266635,1.096265,0.294504,1.615540,0.162092,0.000000,1.343034,0.685902,0.000000,0.000000,0.923198,1.049892,0.000000,0.000000,0.082426,0.101267,0.000000,0.039916,0.000000,0.208318,0.000000,0.000000,1040.000000,,1
