FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
14.508777,39.831673,0.249226,0.290152,13.024737,15.705379,0.828772,1.135154,1.653132,3.941827,0.400471,0.817572,0.851171,2.317582,0.060408,0.000000,1.161631,1.600229,0.000000,0.000000,1.114769,1.196048,0.000000,0.055055,0.218307,0.595698,0.000000,0.000000,0.000000,0.365035,0.000000,0.000000,331.000000,,1
1.372802,2.647302,0.198080,0.435008,5.379151,2.516181,0.226648,0.434290,0.836598,2.166996,0.352099,0.392625,0.159530,1.506718,0.156299,9998.000000,0.137608,0.422804,0.000000,0.000000,0.730714,0.400742,0.000000,0.000000,0.000000,0.335858,0.000000,0.000000,0.000000,0.178032,0.000000,3.999913,405.000000,,0
11.599650,32.326851,0.239145,0.710227,10.665910,15.516603,0.624484,1.031044,1.513725,3.901340,0.058214,0.786189,0.145415,1.080494,0.019914,9998.000000,1.064445,1.509563,0.000000,0.000000,1.027998,1.190797,0.000000,0.013277,0.180047,0.591214,0.000000,0.000000,0.000000,0.033622,0.000000,3.999913,661.000000,,1
1.050289,1.637400,0.000000,0.000000,7.014834,1.826796,0.282266,0.730890,0.000000,0.550159,0.553473,0.548861,0.000000,0.434729,0.029776,9998.000000,0.021309,0.214155,0.000000,0.000000,0.846017,0.261690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.999913,692.000000,,0
12.915037,8.327705,0.167455,0.497295,4.975665,4.745504,0.547983,0.519535,1.713242,2.481125,0.592362,1.035016,0.590346,1.777066,0.033983,0.000000,1.111096,0.920525,0.000000,0.000000,0.696851,0.676282,0.000000,0.000000,0.233819,0.394649,0.000000,0.014947,0.000000,0.249704,0.000000,0.000000,750.000000,,1
19.721430,4.368530,0.251243,0.909086,8.227108,14.000322,0.894971,0.711585,1.787148,2.730072,0.474976,1.064243,1.045258,3.229044,0.092011,0.000000,1.294938,0.640335,0.000000,0.000000,0.915247,1.146138,0.000000,0.000000,0.252160,0.436174,0.000000,0.027041,0.019223,0.509074,0.000000,0.000000,1312.000000,,1
2.618176,5.607376,0.085504,0.306901,11.855465,0.059392,0.441117,1.022699,0.824420,1.513665,0.759538,0.587411,0.430037,1.592462,0.100519,0.000000,0.417999,0.748760,0.000000,0.000000,1.073919,0.000000,0.000000,0.009748,0.000000,0.180030,0.000000,0.000000,0.000000,0.202069,0.000000,0.000000,1797.000000,,1
33.879444,37.841377,0.228943,0.489290,8.075603,18.284246,1.079715,0.788725,0.936276,2.418778,0.430517,0.711365,1.051546,1.172347,0.028173,0.000000,1.529936,1.577967,0.000000,0.000000,0.907175,1.262077,0.033309,0.000000,0.000000,0.383596,0.000000,0.000000,0.021828,0.069056,0.000000,0.000000,1928.000000,,1
9.169054,20.171192,0.153760,0.400232,7.030645,4.603802,0.379629,0.608692,1.382724,2.228085,0.257392,1.017009,0.932323,2.055140,0.040036,0.000000,0.962325,1.304732,0.000000,0.000000,0.846995,0.663117,0.000000,0.000000,0.140735,0.347932,0.000000,0.007325,0.000000,0.312841,0.000000,0.000000,1964.000000,,1
15.461083,24.318045,0.228025,0.721467,10.814240,27.288021,0.520852,1.080673,1.149029,1.373620,0.743208,0.803538,0.247589,3.466092,0.110492,0.000000,1.189240,1.385929,0.000000,0.000000,1.033996,1.435972,0.000000,0.033694,0.060331,0.137867,0.000000,0.000000,0.000000,0.539840,0.000000,0.000000,2066.000000,,1
