FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
11.057118,27.485462,0.155198,0.548063,5.724143,17.719135,3.760137,0.498852,0.552435,1.828512,0.498812,0.718592,0.560061,0.784492,0.088765,0.000000,1.043642,1.439103,0.000000,0.000000,0.757710,1.248443,0.575204,0.000000,0.000000,0.262098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.000000,,1
7.098043,13.892098,0.218962,0.637739,14.540259,21.180136,2.954503,1.354715,1.592202,2.432673,0.943543,0.762652,1.141702,1.538800,0.005456,0.000000,0.851139,1.142768,0.000000,0.000000,1.162572,1.325929,0.470484,0.131848,0.201998,0.386084,0.000000,0.000000,0.057553,0.187182,0.000000,0.000000,326.000000,,1
8.114313,2.469386,0.193648,0.121339,12.750916,14.366236,5.312851,1.066359,1.198299,2.273742,0.708650,0.359106,0.481464,3.700047,0.036639,0.000000,0.909252,0.392589,0.000000,0.000000,1.105541,1.157343,0.725328,0.027904,0.078565,0.356741,0.000000,0.000000,0.000000,0.568207,0.000000,0.000000,499.000000,,1
1.868440,1.583219,0.180671,0.590545,7.674733,12.565812,1.530395,0.607415,0.359825,1.245673,0.882674,0.278872,1.115011,2.769560,0.047975,0.000000,0.271479,0.199541,0.000000,0.000000,0.885063,1.099191,0.184804,0.000000,0.000000,0.095404,0.000000,0.000000,0.047279,0.442411,0.000000,0.000000,1230.000000,,0
3.725021,2.859197,0.124054,0.635663,7.847140,24.239349,3.528499,0.741451,1.317522,1.541814,0.300972,0.684554,0.374958,0.602563,0.019893,0.000000,0.571129,0.456244,0.000000,0.000000,0.894711,1.384521,0.547590,0.000000,0.119758,0.188032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1269.000000,,1
5.688947,14.087663,0.393304,0.271047,14.951271,12.861155,2.392466,1.425446,0.840311,2.032481,0.651075,0.552355,0.676269,0.834122,0.089652,9998.000000,0.755032,1.148839,0.000000,0.000000,1.174678,1.109280,0.378846,0.153951,0.000000,0.308027,0.000000,0.000000,0.000000,0.000000,0.000000,3.999913,1372.000000,,1
5.831288,17.031345,0.196223,0.515622,52.665379,38.831196,23.240587,4.693079,0.270887,1.716596,0.422531,0.177038,1.085025,0.782117,0.087063,0.000000,0.765765,1.231249,0.000000,0.000000,1.721525,1.589181,1.366247,0.671458,0.000000,0.234668,0.000000,0.000000,0.035440,0.000000,0.000000,0.000000,1726.000000,,1
7.205926,7.615960,0.255695,0.770678,37.423714,43.029633,17.121403,2.789763,1.517558,2.422412,0.494540,0.506039,0.711485,0.941127,0.004175,0.000000,0.857690,0.881725,0.000000,0.000000,1.573147,1.633768,1.233539,0.445567,0.181145,0.384248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1776.000000,,1
6.734305,3.034238,0.405901,0.584257,22.647924,24.909630,9.150947,1.609212,1.321615,2.712105,0.771716,1.014853,0.625322,3.511510,0.110031,0.000000,0.828293,0.482050,0.000000,0.000000,1.355028,1.396367,0.961466,0.206613,0.121105,0.433306,0.000000,0.006403,0.000000,0.545494,0.000000,0.000000,1939.000000,,1
8.701165,3.572079,0.349304,0.595856,22.691965,13.725482,11.228546,2.105708,1.404684,1.370845,0.670879,0.643489,0.548602,1.258829,0.007233,0.000000,0.939577,0.552921,0.000000,0.000000,1.355872,1.137528,1.050323,0.323398,0.147579,0.136988,0.000000,0.000000,0.000000,0.099967,0.000000,0.000000,2044.000000,,1
