FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
8.984829,27.872837,0.198718,0.764070,7.086065,14.627121,0.894412,0.713621,1.734663,1.169312,0.413288,0.735701,1.052844,1.717155,0.050636,0.000000,0.953510,1.445181,0.000000,0.000000,0.850405,1.165159,0.000000,0.000000,0.239215,0.067930,0.000000,0.000000,0.022364,0.234810,0.000000,0.000000,106.000000,,1
13.240005,4.814139,0.227666,0.193688,9.093152,11.122599,0.408417,1.036294,0.917111,1.450321,0.230600,0.669621,0.000000,2.723444,0.098144,0.000000,1.121888,0.682519,0.000000,0.000000,0.958714,1.046206,0.000000,0.015483,0.000000,0.161464,0.000000,0.000000,0.000000,0.435118,0.000000,0.000000,273.000000,,1
29.214575,25.517921,0.126370,0.447026,9.845344,13.527562,0.566729,0.890779,0.945400,2.989579,0.375057,0.704877,0.397257,1.283185,0.074950,0.000000,1.465600,1.406845,0.000000,0.000000,0.993231,1.131220,0.000000,0.000000,0.000000,0.475610,0.000000,0.000000,0.000000,0.108289,0.000000,0.000000,346.000000,,1
17.287041,34.560246,0.278573,0.559981,15.671741,8.615361,0.644208,1.335210,1.495159,3.182409,0.488591,1.005550,0.608053,3.488272,0.074203,0.000000,1.237721,1.538577,0.000000,0.000000,1.195117,0.935273,0.000000,0.125550,0.174687,0.502756,0.000000,0.002404,0.000000,0.542610,0.000000,0.000000,421.000000,,1
10.516422,3.119144,0.090276,0.516280,4.786449,6.669223,0.448005,0.364896,0.724541,1.380108,0.237867,0.789783,0.456968,1.925496,0.143193,0.000000,1.021868,0.494035,0.000000,0.000000,0.680013,0.824075,0.000000,0.000000,0.000000,0.139913,0.000000,0.000000,0.000000,0.284543,0.000000,0.000000,502.000000,,1
6.939651,14.950892,0.151285,0.711266,10.320119,9.704779,0.658442,1.008924,2.232178,1.987962,0.417201,1.247969,0.946158,1.100857,0.015504,0.000000,0.841338,1.174667,0.000000,0.000000,1.013685,0.986986,0.000000,0.003858,0.348729,0.298408,0.000000,0.096204,0.000000,0.041731,0.000000,0.000000,559.000000,,1
1.412809,3.321416,0.170789,0.000000,4.862431,0.000000,0.019365,0.376435,1.235911,0.121519,0.000000,0.322553,0.622667,0.261524,0.136258,0.000000,0.150083,0.521323,0.000000,0.000000,0.686853,0.000000,0.000000,0.000000,0.091987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,641.000000,,0
2.397836,6.127609,0.000000,0.633208,9.630854,11.603324,0.596275,0.972171,1.278573,2.263940,0.673914,1.081272,1.183846,0.473199,0.122822,9998.000000,0.379820,0.787291,0.000000,0.000000,0.983665,1.064582,0.000000,0.000000,0.106726,0.354865,0.000000,0.033935,0.073295,0.000000,0.000000,3.999913,1005.000000,,1
15.194468,13.298678,0.159869,0.752211,5.187639,8.593521,0.424827,0.392725,1.386776,1.786150,1.109760,0.668963,0.662035,1.724861,0.093889,0.000000,1.181686,1.123809,0.000000,0.000000,0.714970,0.934171,0.000000,0.000000,0.142006,0.251918,0.045229,0.000000,0.000000,0.236754,0.000000,0.000000,1096.000000,,1
10.411214,27.261209,0.257731,1.021381,6.463657,17.046518,0.669901,0.617217,0.986605,2.429818,0.644946,0.552554,0.880438,2.196563,0.076239,0.000000,1.017501,1.435545,0.000000,0.009188,0.810478,1.231636,0.000000,0.000000,0.000000,0.385574,0.000000,0.000000,0.000000,0.341744,0.000000,0.000000,1318.000000,,1
1.143759,5.378033,0.069813,0.214011,4.717236,4.655328,0.748398,0.370905,0.053782,0.000000,0.000000,0.904055,0.047434,0.707632,0.142704,0.000000,0.058334,0.730623,0.000000,0.000000,0.673688,0.667950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1600.000000,,0
1.802120,2.875447,0.185323,0.453555,6.085206,7.920626,0.518457,0.556547,0.331517,0.898864,1.097882,0.000000,0.245194,1.482382,0.002656,0.000000,0.255784,0.458705,0.000000,0.000000,0.784275,0.898759,0.000000,0.000000,0.000000,0.000000,0.040556,0.000000,0.000000,0.170960,0.000000,0.000000,1682.000000,,0
13.642793,16.191973,0.177317,0.788605,5.566290,7.521033,0.596614,0.506159,0.825158,1.332595,0.915853,0.504562,0.562137,1.610090,0.040857,9998.000000,1.134903,1.209300,0.000000,0.000000,0.745566,0.876278,0.000000,0.000000,0.000000,0.124698,0.000000,0.000000,0.000000,0.206850,0.000000,3.999913,2143.000000,,1
13.959616,37.797356,0.216007,0.510012,12.478192,14.860716,0.582700,1.194466,0.809247,1.635464,0.844244,0.753688,0.715857,2.460962,0.021748,0.000000,1.144873,1.577461,0.000000,0.000000,1.096152,1.172040,0.000000,0.077174,0.000000,0.213641,0.000000,0.000000,0.000000,0.391105,0.000000,0.000000,2239.000000,,1
1.295243,8.120003,0.260366,0.000000,5.617976,25.456015,0.486235,0.489709,0.306103,0.790761,0.465772,0.916592,0.620511,3.069314,0.159621,0.000000,0.112351,0.909556,0.000000,0.000000,0.749580,1.405790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.487041,0.000000,0.000000,2523.000000,,0
7.958257,1.866364,0.238147,0.283165,8.840792,14.158834,0.884830,0.736460,1.280689,1.643888,0.392047,0.884031,0.392426,2.626460,0.061268,0.000000,0.900818,0.270996,0.000000,0.000000,0.946491,1.151027,0.000000,0.000000,0.107444,0.215872,0.000000,0.000000,0.000000,0.419371,0.000000,0.000000,2555.000000,,0
