FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
1.953625,5.983711,0.294424,0.764708,9.306784,7.543073,6.013976,0.698349,0.257012,2.096644,0.970873,0.582700,0.548222,1.165359,0.165452,0.000000,0.290841,0.776971,0.000000,0.000000,0.968800,0.877548,0.779162,0.000000,0.000000,0.321525,0.000000,0.000000,0.000000,0.066460,0.000000,0.000000,147.000000,,1
9.089818,2.932404,0.092951,0.179034,11.752692,27.147875,3.089837,1.159290,0.516999,1.699188,0.000000,0.284003,0.052325,1.506299,0.092493,9998.000000,0.958555,0.467224,0.000000,0.000000,1.070137,1.433736,0.489936,0.064192,0.000000,0.230241,0.000000,0.000000,0.000000,0.177911,0.000000,3.999913,279.000000,,1
20.579809,7.714581,0.207023,0.822902,35.625408,28.892342,11.791961,3.307940,2.080035,1.382804,0.527600,0.671258,0.782855,1.828133,0.094006,0.000000,1.313441,0.887312,0.000000,0.000000,1.551760,1.460783,1.071586,0.519558,0.318071,0.140760,0.000000,0.000000,0.000000,0.262008,0.000000,0.000000,453.000000,,1
15.960814,3.469945,0.219261,0.611607,11.403448,11.967561,5.449583,0.937594,1.688387,2.915914,0.886746,1.280709,1.087321,1.607874,0.019781,0.000000,1.203055,0.540323,0.000000,0.000000,1.057036,1.078006,0.736363,0.000000,0.227472,0.464775,0.000000,0.107451,0.036358,0.206252,0.000000,0.000000,733.000000,,1
10.125893,44.773300,0.174522,0.824819,19.943905,32.275364,10.826937,1.794055,1.389372,0.477172,0.842287,0.981214,0.997245,1.841629,0.029571,0.000000,1.005433,1.651019,0.000000,0.000000,1.299810,1.508871,1.034506,0.253836,0.142818,0.000000,0.000000,0.000000,0.000000,0.265202,0.000000,0.000000,1043.000000,,1
9.709131,5.550399,0.116089,0.547683,14.788927,14.773195,5.926196,1.541455,1.186161,1.476792,0.556427,0.105827,0.385758,0.881097,0.004503,0.000000,0.987180,0.744324,0.000000,0.000000,1.169937,1.169474,0.772776,0.187931,0.074144,0.169319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1278.000000,,1
17.829594,1.725101,0.183985,0.622867,22.699650,33.403690,9.769840,1.860075,0.333773,1.076042,0.599329,0.800803,0.985626,2.966142,0.031136,0.000000,1.251141,0.236814,0.000000,0.000000,1.356019,1.523794,0.989887,0.269530,0.000000,0.031829,0.000000,0.000000,0.000000,0.472192,0.000000,0.000000,1613.000000,,0
13.098523,22.936501,0.195584,0.480705,16.402790,16.400515,4.945001,1.392666,0.354495,1.967999,0.286399,0.564712,0.619752,0.144936,0.047743,0.000000,1.117222,1.360527,0.000000,0.000000,1.214918,1.214857,0.694166,0.143847,0.000000,0.294025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1892.000000,,1
15.043484,5.582840,0.038630,0.875267,13.730393,10.096207,2.871914,1.315566,1.022379,1.416303,0.557585,0.867501,0.591204,1.775469,0.163497,0.000000,1.177348,0.746855,0.000000,0.000000,1.137683,1.004158,0.458171,0.119113,0.009612,0.151156,0.000000,0.000000,0.000000,0.249313,0.000000,0.000000,1913.000000,,1
12.136354,16.658125,0.349284,0.557426,12.705538,17.253922,4.907908,1.006369,1.011359,2.030864,0.711326,1.063924,0.717454,1.426903,0.060706,0.000000,1.084088,1.221626,0.000000,0.000000,1.103993,1.236888,0.690896,0.002757,0.004906,0.307681,0.000000,0.026911,0.000000,0.154395,0.000000,0.000000,2364.000000,,1
5.399973,2.244575,0.103172,0.669701,33.217052,30.833588,11.121800,2.941906,1.412290,1.011619,0.343475,0.291729,0.896209,1.322553,0.045578,0.000000,0.732392,0.351134,0.000000,0.000000,1.521361,1.489024,1.046175,0.468629,0.149924,0.005017,0.000000,0.000000,0.000000,0.121413,0.000000,0.000000,2808.000000,,1
14.899685,6.181451,0.348406,0.597832,16.257256,17.070116,3.811264,1.505919,1.596175,1.942305,0.490068,1.417061,0.755645,2.213891,0.060496,0.000000,1.173177,0.791090,0.000000,0.000000,1.211047,1.232237,0.581069,0.177802,0.203081,0.288318,0.000000,0.151389,0.000000,0.345156,0.000000,0.000000,2943.000000,,1
9.805716,28.106331,0.386876,0.589946,20.339546,22.209562,6.293228,1.916812,1.128846,0.950830,0.733345,0.687948,0.756084,1.551596,0.122904,0.000000,0.991479,1.448804,0.000000,0.000000,1.308341,1.346540,0.798873,0.282579,0.052635,0.000000,0.000000,0.000000,0.000000,0.190779,0.000000,0.000000,3392.000000,,1
1.355573,1.973089,0.278693,0.217025,16.752394,12.756804,2.026752,1.489230,1.005969,0.677846,0.002555,0.895490,0.265996,1.846120,0.092810,0.000000,0.132123,0.295147,0.000000,0.000000,1.224077,1.105742,0.306801,0.172962,0.002585,0.000000,0.000000,0.000000,0.000000,0.266260,0.000000,0.000000,3942.000000,,0
3.780480,1.285321,0.386177,0.256353,22.214334,25.492249,7.847918,1.754327,0.836458,1.954483,0.842108,0.797529,0.336827,0.159590,0.197917,0.000000,0.577547,0.109012,0.000000,0.000000,1.346633,1.406408,0.894754,0.244111,0.000000,0.291032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4149.000000,,0
15.277977,5.270608,0.162424,0.382903,20.999964,16.055742,7.134956,1.703600,2.126690,3.130802,0.485936,0.793536,0.709868,1.154938,0.041311,0.000000,1.184066,0.721861,0.000000,0.000000,1.322219,1.205630,0.853391,0.231368,0.327704,0.495656,0.000000,0.000000,0.000000,0.062559,0.000000,0.000000,4342.000000,,1
3.955122,3.237808,0.176559,0.259907,19.279755,16.128609,5.736740,1.604340,1.161945,1.418718,0.303288,1.253439,0.713182,1.051167,0.105548,0.000000,0.597160,0.510251,0.000000,0.000000,1.285102,1.207597,0.758665,0.205297,0.065186,0.151896,0.000000,0.098103,0.000000,0.021672,0.000000,0.000000,4378.000000,,1
