Num_events_int	Num_events_noint
4237	4726
5134	4744
5765	3454
4252	6048
4334	4205
4703	5332
4837	4843
3946	3826
5252	4542
4360	4765
4178	4482
4137	4272
4229	5100
3988	4417
4332	4793
4337	3619
4857	3961
4806	4260
6602	4324
4251	3869
4712	4470
3235	4402
3769	4939
4607	5405
4084	6174
5850	3852
4860	4585
5507	4296
5803	4605
4956	3706
4101	4211
4852	4203
4465	5011
4459	4256
4863	4890
3953	7046
4731	5754
5126	4949
4069	3817
3534	4395
5921	4398
3422	3813
5081	3820
3907	5202
4082	4091
4008	4391
3356	4173
4035	4028
4696	4630
3897	5098
3726	5266
4034	4403
4817	4722
4578	5260
4816	5135
4250	5233
3858	6861
4396	5186
5442	5666
4872	4670
4568	6316
3869	3194
4676	3412
5884	5268
4524	4865
4619	4902
5550	3801
4194	4195
3692	4796
4685	3129
4339	4460
3148	5527
5464	4844
4632	4333
4626	5282
4236	4936
4295	4042
5842	4013
5098	5774
4746	4988
4312	5310
4212	5119
4793	4889
4132	4301
4243	3192
4069	7934
4187	5428
3799	4131
5053	3933
4858	4775
3928	4466
4829	4105
4894	4030
5123	3848
4263	3816
4253	5015
4961	4294
4193	4798
3683	3996
3816	4915
3826	3819
4504	3358
4540	4429
3653	4798
5382	6074
6112	4308
6334	2630
3893	7009
5404	5116
3716	5010
3789	6288
4282	4266
4402	4549
4418	4217
5213	4753
7077	4685
3950	4633
6789	4326
5044	3754
4426	4759
3867	5032
3795	4904
4395	3408
3949	4105
5783	4398
4129	3952
3790	4042
3909	3591
4214	4864
4346	5620
4804	5148
3678	6030
4799	3338
6417	4095
4544	3937
5297	4284
4806	4101
5786	5841
3005	4660
3986	5557
4864	4841
6126	3656
3980	4695
4841	4950
5550	4403
4098	4676
4566	4034
6164	5712
5235	4613
5307	4542
5614	4898
5135	4677
3883	5156
4479	3756
6297	4591
4424	5510
5362	4131
4840	4732
3911	4711
5543	5044
4716	4281
5458	5285
7050	5364
4212	4917
4129	5896
3833	5158
5959	5246
4073	2958
3971	4784
4055	3941
3808	4359
3318	3210
4020	4627
6074	5495
4643	4386
3033	4216
5987	3994
3799	4678
5427	4532
2939	5826
7707	4581
6959	4224
5172	4198
4505	4117
4395	4632
4686	6201
4757	4466
4478	3878
5001	5610
4935	4115
5254	4389
4246	6802
4935	5053
5156	3921
5790	4056
4610	5180
4066	5192
5784	3870
3884	4091
5486	4498
4737	4020
5881	3678
4434	4985
4409	4583
4885	5268
5174	4087
4502	3872
3729	5170
3794	6600
5218	3679
4467	3771
5579	3305
3959	5274
4537	4164
4373	4179
4629	5193
3841	5556
4184	4676
4484	4498
4886	4179
4272	4950
5759	5525
4964	3661
3536	3899
5317	6295
6450	3873
4551	3925
5171	4947
4382	6110
3722	5047
4726	4973
4644	4136
4567	4460
4692	4836
4264	4036
3598	3827
5246	4343
4345	4371
3725	4909
4685	5238
5426	4649
4581	4421
5534	4751
4158	4950
4867	4140
3935	5172
4634	4375
5884	4141
5074	5030
5752	6072
4206	4779
4584	6210
5152	4441
4981	6235
5608	3623
6099	4681
4574	4726
4503	4496
4987	3663
5647	5656
4422	4720
4631	4647
4702	3777
4278	3807
5792	4265
5404	4825
4255	4033
3729	4456
4240	4569
4374	4360
4958	5109
4364	5003
3519	5251
5414	3467
5662	3959
4645	4326
4995	3755
5704	3988
5751	4106
4065	4935
6087	4732
5884	5479
5605	4273
4298	5377
3936	4330
4971	4542
4961	3750
3905	6088
4060	4426
5379	5060
3921	5657
4884	3890
3567	5221
6556	4843
4216	3980
5097	4989
4897	4672
5366	5141
5441	3721
4959	4778
3697	5138
5499	4779
5759	4005
5026	3238
6035	4737
6849	3610
4363	5181
5746	4251
4220	7119
6162	5993
4800	4296
5221	4511
4801	4847
3826	4402
4502	4313
4740	4372
6850	5224
6188	6094
6529	5773
5468	3997
5326	4411
4885	4764
4881	4378
4367	4674
4728	4606
4167	4048
5244	4823
4678	6321
5654	4635
4423	4173
5257	4259
5308	4410
3860	5624
4999	5267
4079	4629
5924	5568
4713	6355
5377	3294
4275	5465
3877	3907
4638	5636
5253	3727
4622	4829
4577	4730
4669	4155
5240	5593
4258	4038
5873	3864
5050	4829
4284	4002
4072	4302
4580	3797
4257	4845
5774	5468
3944	3856
4699	3981
4834	5730
4865	5223
4520	4117
4515	5516
5769	4640
4439	5950
4090	5967
3531	5969
3764	4280
3914	4661
3948	4164
5517	4699
4767	5723
4959	4122
5857	3804
4024	5077
6168	4805
4962	4533
4321	5303
4278	4734
4414	5273
3673	3779
4666	4503
5574	5548
4262	4677
3367	4186
4830	3977
4226	3913
5849	4885
4305	4832
4559	4356
4022	3792
5530	4364
3964	5191
5618	3649
3898	3713
4829	4976
3913	5403
4219	3483
3301	5644
4604	4738
5700	4897
4007	5826
3909	4969
5172	4903
4050	4656
5785	4669
5605	3700
4642	5458
2792	4207
3379	4751
4133	3806
4170	4813
5089	4333
4797	4522
5115	5041
4205	4136
4164	5815
4293	3073
4418	4728
4309	5296
6084	3734
3647	4053
5533	5216
4751	4451
5423	4348
5087	5044
4584	5026
5302	5298
4429	4161
6056	6429
4767	4817
5810	6205
5468	4239
4138	4620
6313	3614
5153	4551
5271	4995
4207	5829
5530	4612
4530	3598
5198	3925
3906	4727
5668	4694
4713	4177
4838	4471
5350	4521
4999	5163
6421	3923
4520	4549
6040	3970
4575	5417
4460	5609
4202	3882
5997	5791
5139	4477
4004	5577
4344	4610
4851	4078
3939	6996
4431	4075
5264	4093
5228	5622
5531	5244
4203	5104
6032	3854
4342	4473
4734	4158
7541	4044
5125	4445
5864	3422
2992	4497
5144	4131
4464	3631
4125	3969
4850	5756
4461	4313
4444	3951
3635	3670
4806	6409
4648	5515
5044	4520
4480	4237
3695	4629
3915	6170
5724	4388
3874	5222
3923	4468
4694	4684
4817	5044
